次序(int),活動(string),日期(datetime)
1,新生進住宿舍,2012/9/2
2,暑假結束,2012/9/10
3,期中考,2012/11/5
4,運動會,2012/11/23
5,期末考,2013/1/4
6,寒假開始,2013/1/14
7,寒假結束,2013/2/18
8,期中考,2013/4/15
9,水上運動會,2013/5/31
10,校慶,2013/6/5
11,期末考,2013/6/14
12,畢業典禮,2013/6/15
13,暑假開始,2013/6/24
14,新生進住宿舍,2013/8/31
15,暑假結束,2013/9/9
16,期中考,2013/11/4
17,運動會,2013/11/22
18,期末考,2014/1/3
19,寒假開始,2014/1/13
20,寒假結束,2014/2/17
21,期中考,2014/4/14
22,水上運動會,2014/5/30
23,校慶,2014/6/5
24,期末考,2014/6/13
25,畢業典禮,2014/6/14
26,暑假開始,2014/6/23
27,新生進住宿舍,2014/8/30
28,暑假結束,2014/9/9
29,期中考,2014/11/3
30,運動會,2014/11/21
31,期末考,2015/1/2
32,寒假開始,2015/1/12
33,寒假結束,2015/2/25
34,期中考,2015/4/20
35,校慶、水上運動會,2015/6/5
36,畢業典禮,2015/6/13
37,期末考,2015/6/22
38,暑假開始,2015/7/1
39,新生進住宿舍,2015/9/5
40,暑假結束,2015/9/11
41,期中考,2015/11/9
42,運動會,2015/11/20
43,期末考,2016/1/11
44,寒假開始,2016/11/18
45,寒假結束,2016/2/22
46,期中考,2016/4/18
47,校慶,2016/6/3
48,水上運動會,2016/6/4
49,畢業典禮,2016/6/18
50,期末考,2016/6/20
51,暑假開始,2016/6/27
52,新生進住宿舍,2016/9/3
53,暑假結束,2016/9/12
54,期中考,2016/11/7
55,運動會,2016/11/18
56,期末考,2017/1/9
57,寒假開始,2017/1/16
58,寒假結束,2017/2/20
59,期中考,2017/4/17
60,水上運動會,2017/6/2
61,校慶,2017/6/5
62,畢業典禮,2017/6/17
63,期末考,2017/6/19
64,暑假開始,2017/6/26
