測站,監測日期,監測時間,測站氣壓(hPa),溫度(℃),相對溼度(%),風速(m/s),降水量(mm),日照時數(小時)
臺北,2017/4/30,23:04:00,"1,010.40",22.6,68,1.3,0,-
臺北,2017/4/30,22:04:00,"1,010.30",23.2,67,1.6,0,-
臺北,2017/4/30,21:04:00,"1,009.80",24,63,1.4,0,-
臺北,2017/4/30,20:04:00,"1,009.40",24.4,60,1.4,0,-
臺北,2017/4/30,19:04:00,"1,009.10",24.8,60,1.9,0,0
臺北,2017/4/30,18:04:00,"1,008.80",25.6,58,1.8,0,0
臺北,2017/4/30,17:04:00,"1,008.60",26.5,53,1.7,0,0.3
臺北,2017/4/30,16:04:00,"1,008.30",28.1,44,0.2,0,1
臺北,2017/4/30,15:04:00,"1,008.60",28.8,44,1.2,0,0.9
臺北,2017/4/30,14:04:00,"1,008.90",29.2,43,1.5,0,0.7
臺北,2017/4/30,13:04:00,"1,009.20",29.4,45,1.1,0,1
臺北,2017/4/30,12:04:00,"1,009.70",28.8,44,0.6,0,1
臺北,2017/4/30,11:04:00,"1,010.20",27.6,47,1.5,0,1
臺北,2017/4/30,10:04:00,"1,010.80",26.1,51,0.6,0,1
臺北,2017/4/30,09:04:00,"1,011.20",25.2,57,0.2,0,1
臺北,2017/4/30,08:04:00,"1,011.30",21.6,64,1,0,1
臺北,2017/4/30,07:04:00,"1,011",19.3,70,2.2,0,1
臺北,2017/4/30,06:04:00,"1,010.40",18.5,72,1.2,0,0.1
臺北,2017/4/30,05:04:00,"1,010",18.9,70,1.6,0,-
臺北,2017/4/30,04:04:00,"1,009.50",19.2,69,0.9,0,-
臺北,2017/4/30,03:04:00,"1,009.30",19.6,68,2,0,-
臺北,2017/4/30,02:04:00,"1,009.60",19.7,67,0.9,0,-
臺北,2017/4/30,01:04:00,"1,010",19.8,66,1.1,0,-
臺北,2017/4/30,00:04:00,"1,010.30",22.1,69,2,0,-
臺北,2017/4/29,23:04:00,"1,010.60",20.7,59,0.8,0,-
臺北,2017/4/29,22:04:00,"1,010.90",21.2,55,1.4,0,-
臺北,2017/4/29,21:04:00,"1,010.70",21.4,52,3.2,0,-
臺北,2017/4/29,20:04:00,"1,010.30",21.7,50,2.8,0,-
臺北,2017/4/29,19:04:00,"1,009.80",22.3,47,2.5,0,0
臺北,2017/4/29,18:04:00,"1,009.40",22.8,44,3.8,0,0.2
臺北,2017/4/29,17:04:00,"1,008.80",23.5,41,4.2,0,1
